game_name,cpu,ram,gpu,storage,os
El Culto,Intel Pentium 4 1300MHz,256 MB,ATI FireGL T2-128,500 MB,Windows 7/8/10
Murgles,Intel Core 2 Duo Q6867,4 GB,AMD Radeon HD 6250,2 GB,Microsoft® Windows® 7/8/8.1/10 (32bit/64bit)
The Shattered Blade,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce 9800 GTX+,350 MB,Windows 7
CRAZY CAGE,Intel Core 2 Duo E6750,2 GB,ATI Radeon HD 5770,1.07 GB,Windows 7 SP1+ x86 and x64
Spark & Sparkle,Intel Core 2 Duo Q6867,1 GB,ATI FireGL T2-128,100 MB,Windows 10
Luna Sanctus,Intel Core 2 Duo Q6867,4 GB,AMD Radeon HD 6250,600 MB,"Windows 7, Windows 8, Windows 10"
"BEARS, VODKA, BALALAIKA! ?",Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,200 MB,Linux OS / steam OS
Minesweep World,Intel Pentium 4 2.00GHz,1 GB,NVIDIA GeForce 7100 / nForce 630i,100 MB,Windows 10
Our Life: Beginnings & Always,Intel Pentium 4 2.00GHz,1 GB,NVIDIA GeForce 510,,
Magistrangers,Intel Atom Z510,1 GB,ATI FireGL T2-128,100 MB,"Windows 7, 8, or 10"
Thunder's Leaves,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 6100,4 GB,Windows® 10/7/8/Vista
Forex Demo Accelerator,Intel Pentium 4 2.00GHz,1.56 GB,ATI FireGL T2-128,1.46 GB,"OS: Windows 8.1, or Windows 10."
Glitch Puzzle,Intel Core i3-530,1 GB,Intel Media Accelerator 500,30 MB,"Windows 7, 8, 8.1, 10 (64-bit)"
Endless Fables 4: Shadow Within,Intel Pentium 4 2.00GHz,1 GB,ATI FireMV 2400 PCIe,2 GB,Ubuntu 12.04 (32/64bit)
Sticky Paws,Intel Core 2 Duo E8400,2 MB,NVIDIA GeForce 510,100 MB,"Windows 7, 8.1, or 10"
Dress-up Traveller,Intel Core i3-3240,2 GB,NVIDIA GeForce GT 620,500 MB,Microsoft Windows 7/8/8.1/Windows 10
Solitaire Legend of the Pirates,Intel 1500,512 MB,NVIDIA GeForce 510,,Windows XP SP3 x64
Rezist: Tower Defense,Intel Core 2 Duo Q6867,1 GB,ATI FireGL T2-128,500 MB,"Windows 7, 8/8.1, 10"
Solitaire Match 2 Cards. Valentine's Day,Intel 1500,512 MB,NVIDIA GeForce 510,,Windows XP SP3 x64
Nice Jumper,Intel Core Duo U2500,1 GB,ATI FireGL T2-128,104 MB,Ubuntu 14.04 and later
Solitaire Jack Frost Winter Adventures,Intel 1500,512 MB,NVIDIA GeForce 510,,Windows XP SP3 x64
Celestial,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 510,200 MB,Windows 7+ 64 bit
如果一生只有三十岁Before Thirty,Intel Core i3-4160,2 GB,NVIDIA GeForce GTX 650,1 GB,Windows7/8/10
Koi Unleashed,Intel Core 2 Duo E8400,2 GB,NVIDIA GeForce 510,2 GB,Any Linux Distribution 2012+
Whack A Hoe,Intel Pentium 4 2.00GHz,1 GB,ATI FireGL T2-128,1 GB,Windows 7
Orion13,AMD Ryzen 3 1200,8 GB,AMD Radeon RX 480,4 GB,Windows 10
ZAAM,Intel Core 2 Duo Q6867,8 GB,NVIDIA GeForce GTX 660,3 GB,Windows 10
My Bike,Intel Pentium 4 2.00GHz,2 GB,Intel 82845G Controller,300 MB,Windows 7/8/10 - 64bits
Loser Reborn / 废柴转生 / 魯蛇轉生 / ルーザーリボーン,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,64 MB,Microsoft® Windows® XP / Vista / 7 (32-bit/64-bit)
CYBER FURRY GIRL,Intel Core 2 Duo Q6867,1 GB,NVIDIA GeForce 7200 GS,100 MB,"Windows XP, Vista, 7,8,10"
YouTubers Test,Intel Pentium G4560,1 GB,NVIDIA GeForce GT 730,200 MB,"WINDOWS 7,8,10"
Landlord's Super,Intel Core i3-330E,4 GB,ATI FireGL V7350,1 GB,Windows 7/8/10 (64bit)
Forbidden Punch,Intel Pentium 4 2.00GHz,512 MB,NVIDIA GeForce 6100,50 MB,Windows XP and newer
Animal Up!,Intel Pentium 4 1.80GHz,2 MB,NVIDIA GeForce 256,200 MB,Windows 7/8
Reverse Collapse: Code Name Bakery,Intel Core 2 Duo Q6867,4 GB,Intel Media Accelerator 500,,"Windows 7, Windows 8, or Windows 10"
Repressed,Intel Core 2 Duo Q6867,8 GB,NVIDIA GeForce GTX 1050,250 MB,Ubuntu 16.04 or later
Grave Days,Intel Core 2 Duo Q6867,2 GB,ATI FireGL V7350,3 GB,Ubuntu 14.04
Winter Magic Factory,Intel Atom Z510,128 MB,ATI FireGL T2-128,300 MB,Windows XP/ME/Vista/7/8/10
Hypnocult,Intel Core 2 Duo Q6867,2 GB,Intel HD 5000,500 MB,Windows 7
ByLo,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,250 MB,Windows 7+ 64-bit
Smaller,Intel Core i3-2340UE,8 MB,ATI FireGL V7350,4 GB,10
What's Left,Intel Pentium 4 1.50GHz,1 GB,ATI FireGL T2-128,3 GB,Windows XP / Vista / 7 / 8 / 10
Flip Polygon,Intel Atom Z3735F,256 MB,ATI FireGL T2-128,250 MB,Windows 7
Cute Cute Cuties,Intel Core i5 750S,2 GB,ATI FireGL V7350,1 GB,"Windows 10, Windows 8, Windows 7 32-bit"
Mazes and Mages 2,Intel Core 2 Duo Q6867,1 GB,ATI FireGL T2-128,100 MB,Windows 7
TREE HOUSE : AVOCADO MAYHEM,Intel Core i3-2340UE,2 GB,NVIDIA GeForce GTX 460,125 MB,Win 7 and up
Cup Of Ethanol,Intel Core i3-2340UE,256 MB,ATI FireGL T2-128,13 MB,Windows 10
Railroads,Intel Core i3-3220,2 GB,NVIDIA GeForce GT 610,512 MB,Windows 7 SP1+
A Deadly Maze: Phase 1,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,70 MB,
MechCube: Escape,Intel Pentium 4 2.00GHz,1 GB,ATI FireMV 2400 PCIe,300 MB,Ubuntu 12 or later
Gatewalkers,Intel Core i5 750S,8 GB,NVIDIA GeForce GTX 960,10 GB,Windows 7 SP1/Windows 10
Percy Lancaster,Intel Pentium 4 4.00GHz,1 MB,NVIDIA GeForce GT 710,300 MB,Windows 7 / 8.1 / 10 (32 / 64 bit)
VR Puzzle Box,Intel Core i5-4590,4 GB,NVIDIA GeForce GTX 970,1.17 GB,Windows 10
Eggness,AMD Athlon II X2 240,4 GB,AMD Radeon HD 7850,2 GB,Windows 10 64-Bit
Lightman,Intel Core i5-4400E,8 GB,NVIDIA GeForce GTX 965M,260 MB,"Windows 7, 8, 10"
Wizhood: The Epic of Freedom,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,100 MB,Windows 7
Sanitarium Rush,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,100 MB,"Windows Xp , Windows 7 or newest"
STORM AREA 51: CUTE ALIEN GIRL EDITION,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce GTX 670,1.17 GB,"Windows 7, 8, 8.1, 10"
12 HOURS 2,Intel Core i5 750S,2 GB,NVIDIA GeForce 9800 GT,2 GB,WindowsXP (Service Pack 3)
Power,Intel Core i5-4590,8 GB,NVIDIA GeForce GTX 970,10 GB,Windows 7 64-bit
初恋日记,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 510,6 GB,"Ubuntu,Linux Mint,PCLinuxOS,etc..."
My Bones Remastered,Intel Core i5-6400,8 GB,AMD Radeon RX 580,2 GB,Windows 7/8/10 (64-32 bit OS required)
魔法使いハナビィ Hanaby the Witch,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 7100 / nForce 630i,500 MB,Windows Vista SP1 or later
Before I Forget,Intel Pentium 4 2.20GHz,2 GB,Intel HD 4000,1 GB,
No Country for Old Men,Intel Core 2 Duo Q6867,2 GB,ATI FireMV 2400 PCIe,2 GB,Windows XP or later
Elder Village,Intel Core i3-2340UE,4 GB,NVIDIA GeForce 9800 GT,150 MB,Windows 7  or later
Video deluxe 2020 Steam Edition,Intel Pentium 4 2.40GHz,5.36 GB,NVIDIA GeForce 6100,2 GB,Windows 7 | 8 | 10 (64-bit)
Video deluxe 2020 Plus Steam Edition,Intel Pentium 4 2.40GHz,2 GB,NVIDIA GeForce 6100,2 GB,Windows 7 | 8 | 10 (64-bit)
Neonis,Intel Core i3-330E,2 GB,NVIDIA GeForce GTX 950,1 GB,"Windows 7, 8 or 10"
I'm from area 51,Intel Core 2 Duo Q6867,2 GB,ATI FireGL V7350,500 MB,Windows / Vista / 7 / 8 / 10
The Captain is Dead,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 7100 / nForce 630i,2 GB,"Windows 7 SP1, Windows 8.1 or later, Windows 10"
Hentai - Area 51,Intel Pentium 4 2.00GHz,4 GB,NVIDIA GeForce 6100,112 MB,Linux+ or SteamOS+
Mystery at Stonyford Bridge,Intel Pentium 4 1.40GHz,2 GB,ATI FireGL V7350,1 GB,"Windows 7, Windows 10"
Robot Vacuum Simulator X,Intel Core 2 Duo Q6867,4 GB,ATI FireGL T2-128,6.06 GB,Windows 7 or higher
Throw The Ball In the Hole,Intel Core i5-4400E,4 GB,NVIDIA GeForce GTX 960,250 MB,Windows 7/8.1/10 (64 bit)
PamPam Kana Students,Intel Core 2 Duo Q6867,4 GB,ATI FireGL T2-128,250 MB,Windows 7/8/10
初开在平安夜之花 -The Flower on Christmas Eve-,Intel Pentium 4 2.00GHz,1 GB,NVIDIA GeForce GTX 650,512 MB,Win 7/8/10
Strazeal,Intel Core i3-2340UE,4 GB,NVIDIA GeForce 205,40 MB,Windows 8
R42,Intel Core i5-4590,4 GB,NVIDIA GeForce GTX 970,400 MB,"Windows 7 SP1, Windows 8.1 or later, Windows 10"
Migrate,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,1 GB,"Windows vista, 7, 8+"
Ebullition LBVR,Intel Core i5-6600,8 GB,NVIDIA GeForce GTX 1060,10 GB,Windows 10
Urban Cards,Intel Pentium 4 2.00GHz,1 GB,NVIDIA GeForce 510,1 GB,Windows 7
Extreme Tactical Executioners,Intel Core 2 Quad Q9705,4 GB,NVIDIA GeForce GTX 970,2 GB,Windows 7 64 bit
Area 51: The 9/20 Massacre,Intel Core 2 Duo U7600,2 GB,NVIDIA GeForce 6100,500 MB,Windows 7/8/10
WELCOME,Intel Core i5-650,10 GB,NVIDIA GeForce GT 430,7 GB,Windows 7
the machine that BREATHES,Intel Core 2 Duo E8400,2 GB,ATI FireGL T2-128,200 MB,"Windows XP, Vista, 7, 8, or 10"
Wizard Battle,Intel Pentium 4 2.00GHz,1 GB,ATI FireGL T2-128,80 MB,"Windows XP, Vista, 7, 8, or 10"
The Pillar,Intel Core 2 Quad Q8300,8 GB,NVIDIA GeForce GTX 470,300 MB,Ubuntu 16.04+
Speedway Challenge 2019,Intel Pentium 4 2.00GHz,512 MB,Intel HD 3000,250 MB,Windows 7
Booby And The Booby Trap,Intel Core i3-2340UE,2 GB,NVIDIA GeForce 510,192 MB,Windows 7 SP1+
Wedding Designer,AMD Phenom II X4 955,4 MB,NVIDIA GeForce GTX 970,,Microsoft Windows 7/8/10 64-bit
Public Enemy: Revolution Simulator,Intel Core i3-4160,4 GB,Intel HD 4000,200 MB,Windows 7
We Are Screwed!,Intel Core 2 Duo Q6867,2 GB,AMD Radeon HD 6850,2 GB,Windows 7 SP1+
Rabisco,Intel Pentium 4 2.00GHz,2 GB,ATI FireGL T2-128,300 MB,Windows 7
ClearIt5,Intel Pentium 4 2.00GHz,1 GB,ATI FireMV 2400 PCIe,260 MB,Windows 7
香江之龙，Dragon of Hongkong,Intel Pentium 4 4.00GHz,2 GB,ATI Radeon HD 4250,3 GB,Windows XP
REMOTE LIFE,Intel Core i5-4400E,4 GB,NVIDIA GeForce 510,1 GB,Win7 or higher
Raid on Area 51,Intel Core i5-4400E,8 MB,NVIDIA GeForce 510,4.69 GB,Windows 10
DragonClash,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 7100 / nForce 630i,1 GB,Windows 7 (64-bit)
Neon Tail,Intel Pentium 4 2.00GHz,8 GB,NVIDIA GeForce GTX 1060,2 GB,Windows 10
Serpent Fusion,Intel Pentium 4 1.70GHz,2 GB,AMD Radeon HD 5450,150 MB,Windows 7 or higher
电筒侠,Intel Core i3-2340UE,2 GB,ATI Radeon HD 4850,1 GB,Windows® 7 / Windows® 8 / Windows® 10
The Angel Inn,Intel Core 2 Duo Q6867,4 GB,AMD Radeon HD 6250,200 MB,Microsoft® Windows® 7/8/8.1/10 (32bit/64bit)
Atrio: The Dark Wild,Intel Core i5-8250U,2 GB,Intel Media Accelerator 500,4 GB,Windows 10
EasyPianoGame,Intel Core i3-2340UE,2 GB,Intel HD 4000,100 MB,Windows 7 or above
Space Grunts 2,Intel Core 2 Duo Q6867,2 GB,Intel HD 3000,200 MB,Ubuntu 12
Fantasy Little Jobs,Intel Core i7-4770K,8 GB,NVIDIA GeForce GTX 1060,3 GB,"Windows 8.1 or later, Windows 10"
Tales of Lazo,Intel Core i3-330E,2 GB,NVIDIA GeForce GTX 760,300 MB,"Windows 7, Windows 8, Windows 10"
moofa,Intel Core 2 Duo E8400,3 GB,NVIDIA GeForce 510,500 MB,Requires a 64-bit processor and operating system
Hentai Petting Simulator,Intel Core 2 Duo Q6867,128 MB,ATI FireGL T2-128,100 MB,Microsoft® Windows® XP / Vista / 7 or higher
Ancient Dungeon VR,Intel Core i5-4590,8 GB,AMD Radeon R9 390,1 GB,Windows 7 or higher
Obsurity,Intel Atom Z515,256 MB,NVIDIA GeForce 7200 GS,256 MB,Windows 7 and above
akeytsu Indie 2020,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 8200M G,1 GB,Windows Vista x64 or higher
The Quest for Achievements Remix,Intel Core i3-2340UE,2 GB,ATI FireGL T2-128,500 MB,Windows 7/9/10
Xentripetal Force,Intel Core i3-4130,3 GB,AMD Radeon Vega 3,400 MB,Windows 8 or later
Jailbreak Simulator,Intel Core i5-4430,8 GB,AMD Radeon R7 370,1.46 GB,"64-bit Windows 7, Windows 8.1, Windows 10"
Last Knight,Intel Pentium 4 4.00GHz,512 MB,Intel Media Accelerator 500,200 MB,Windows 7
Put in,Intel Celeron,1 GB,Intel Media Accelerator 500,400 MB,Microsoft Windows
The Pilgrim,Intel Core i5-8400,2 GB,NVIDIA GeForce 256,592 MB,Windows 10
TANKMAN,Intel Core 2 Duo U7600,2 GB,NVIDIA GeForce 7200 GS,140 MB,Windows 7
落华居,Intel Pentium 4 2.00GHz,2 GB,ATI FireGL T2-128,4 GB,
CULT,Intel Pentium 4 4.00GHz,2 GB,NVIDIA GeForce 7200 GS,100 MB,"Windows 7, 8, 10"
Wetpants,Intel Core i5-4590,4 GB,NVIDIA GeForce GTX 970,600 MB,Windows 10
GLADOM - the 2D moba in Pixel Art,Intel Core 2 Duo Q6867,1 GB,NVIDIA GeForce 205,120 MB,Windows 10
8 Eyes,Intel Pentium 4 2.00GHz,256 MB,ATI FireGL T2-128,,"Windows 7, Windows 8, Windows 10"
Peace Restored,AMD A8-6500,8 GB,NVIDIA GeForce GTX 970,5 GB,Windows 10
Treater,Intel Core i3-530,4 GB,NVIDIA GeForce GTX 460,22 GB,Windows 7/8.1/10 (64-bit versions)
Maze,Intel Core i5-4400E,4 GB,NVIDIA GeForce GTX 650,6 GB,Windows 7
DREAMO,Intel Core i5-4590,4 GB,NVIDIA GeForce GTX 760,2.93 GB,Windows 10
Screeps Arena,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,500 MB,
Merge,Intel Core i7-7700,4 GB,NVIDIA GeForce GTX 760,28 MB,Windows 10
CHIKARA: AAW Wrestle Factory,Intel Core i5-650,4 GB,AMD Radeon HD 7870,2 GB,"Windows 7, 8, 10"
Tinhead,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,,"Windows 7, Windows 8, Windows 10"
Power Punch II,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,,"Windows 7, Windows 8, Windows 10"
Impossamole,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,,"Windows 7, Windows 8, Windows 10"
Quilly,Intel Core 2 Duo Q6867,512 MB,NVIDIA GeForce 510,50 MB,Windows 7
Sexy President,Intel Pentium 4 1.50GHz,500 MB,ATI FireGL T2-128,550 MB,Microsoft Windows Vista / 7 / 8
My Only Sunshine,Intel Atom Z510,1 GB,ATI FireGL T2-128,,Windows XP and newer
Invasion 2037,Intel Core i5-4430,8 GB,AMD Radeon HD 7870,15 GB,"64-bit Windows 7, Windows 8.1, Windows 10"
Kill the Hentai,Intel Core 2 Duo T7250,2 GB,NVIDIA GeForce 6100,115 MB,Windows 7/8/10
Encodya,Intel Core i5-8250U,4 GB,Intel UHD Graphics 620,4 GB,Ubuntu LTS
War for the West,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,12.04
DOWN MEANS UP,Intel Pentium 4 2.00GHz,1 GB,NVIDIA GeForce 510,200 MB,Windows 7
Aftermoor,Intel Core i7-7700,6 GB,NVIDIA GeForce GTX 960,1.45 GB,Windows 10
Zero Day,Intel Core i7-7700,8 GB,NVIDIA GeForce GTX 960,1.31 GB,Windows 10
Second Dimension RetroPak Vol. 1,Intel Atom Z510,256 MB,NVIDIA GeForce 510,60 MB,"Windows 7, Windows 8, Windows 10 compatible"
I Am Gooey,Intel Core i7-7700,4 GB,NVIDIA GeForce GTX 760,51 MB,Windows 10
Perdition,Intel Core i7-7700,6 GB,NVIDIA GeForce 256,955 MB,Windows 10
Mosh Pit,Intel Core i7-7700,4 GB,NVIDIA GeForce GTX 760,203 MB,Windows 10
Fowl Magic,Intel Core i7-7700,2 GB,NVIDIA GeForce GTX 760,100 MB,Windows 10
Gem Collector,Intel Core 2 Duo Q6867,2 GB,NVIDIA GeForce 510,80 MB,Ubuntu 18.04
Total Ski Jump,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 510,100 MB,Windows 7
Avalive,Intel Core i3-3220,1 GB,NVIDIA GeForce 510,400 MB,Windows® 7 or later
Tower Defense: Defender of the Kingdom,Intel Pentium 4 1.50GHz,1 GB,ATI FireMV 2400 PCIe,1 GB,Microsoft® Windows® XP SP1
Naughty Girl 2,Intel Core 2 Duo Q6867,1 GB,ATI FireGL T2-128,250 MB,Microsoft® Windows® XP or later
Derby: Extreme Racing,Intel Pentium 4 1.50GHz,1 GB,ATI FireGL V7350,500 MB,Microsoft® Windows® XP SP1
Elite Soldier: 3D Shooter,Intel Pentium 4 1.50GHz,1 GB,ATI FireMV 2400 PCIe,500 MB,Microsoft® Windows® XP SP1
Alien Monopoly,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,1 GB,
Travelling around the world on a hot air balloon,Intel Core i5-4590,4 GB,NVIDIA GeForce GTX 1050,4 GB,Windows 7 SP1 or newer
咔叽探险队 Kaki Raid,Intel Core i5-4400E,2 GB,ATI Radeon HD 5750,2 GB,Windows 7+
百花三国志(Banner of the THREE KINGDOMS),Intel Pentium 4 2.00GHz,1.95 GB,ATI FireGL T2-128,2 GB,
NEKROTRONIC VR,Intel Core i7-610,16 GB,NVIDIA GeForce GTX 1060,13 GB,10
Twice Reborn: a vampire visual novel,Intel Pentium 4 1300MHz,1 GB,ATI FireGL T2-128,2 GB,Linux
Anime Girls Jigsaw Puzzles,Intel Pentium 4 2.00GHz,1 GB,ATI FireGL T2-128,325 MB,"Windows XP, Vista, 7, 8, 10"
Building Killer,Intel Core i5-7600K,4 GB,AMD Radeon HD 8970M,200 MB,Windows 7 or higher
Aspects of change,Intel Core 2 Duo Q6867,2 GB,NVIDIA GeForce 205,2 GB,Windows 7
HENTAI ARENA HOLY PUSSY,Intel Pentium 4 2.00GHz,2 GB,AMD Radeon HD 5450,400 MB,Windows 7/8/10
"Strange Passion - My Boss, My Mistress",Intel Pentium 4 2.00GHz,256 MB,ATI FireGL T2-128,800 MB,Windows XP/Vista/7/8
Kick Bot,Intel Pentium 4 2.00GHz,4 GB,NVIDIA GeForce 7100 / nForce 630i,200 MB,Ubuntu 16.04+
Forep Man,AMD Athlon 64 FX-34,512 MB,ATI FireGL T2-128,42 MB,Windows Vista (64bit) Service Pack 2
Crowd Control,AMD E1-6010,4 GB,AMD Radeon R2,40 MB,Windows 7
Ghost Productions: Wraith VR Total Knee Replacement Surgery Simulation,Intel Core i5-4590,4 GB,NVIDIA GeForce GTX 970,,"Windows 7 SP1, Windows 8.1 or later, Windows 10"
Hidden Objects - The Mystery House,Intel Pentium 4 2.00GHz,1 GB,ATI FireGL T2-128,100 MB,"Windows XP, Vista, 7, 8, 10"
Escape: Mouse Gun,Intel Atom Z515,1 GB,ATI FireMV 2400 PCIe,100 MB,Windows 8
Shadows of Larth,Intel Core i5-2300,8 GB,AMD Radeon HD 5450,8 GB,Windows 7 SP1 or Windows 10 (64-bit)
My Train Arrives,Intel Core 2 Duo E4500,2 GB,AMD Radeon HD 2400,2 GB,Windows 7/8/10
GHOST PUNISHMENT,Intel Core i5-650,1 GB,NVIDIA GeForce 7200 GS,170 MB,Windows XP\Vista\7\8\10
Hentai Crazy Girls,Intel Core i5 750S,2 GB,ATI FireGL V7350,1 GB,"Windows 10, Windows 8, Windows 7 32-bit"
Gekisou! Benza Race -Toilet Shooting Star-,Intel Core i7-610,8 GB,NVIDIA GeForce GTX 760,7 GB,windows7
ポエニ戦争　地中海の稲妻,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,10
Baby Walking Simulator,Intel Pentium 4 2.00GHz,2 GB,AMD Radeon HD 5450,200 MB,Windows 7/8/10
Adventure Cop 2,Intel Core 2 Duo U7600,2 GB,NVIDIA GeForce 7200 GS,13 MB,Windows 7
Men of War: Assault Squad 2 - Cold War,Intel Core 2 Duo E8400,8 GB,NVIDIA GeForce 7100 / nForce 630i,15 GB,"64bit - Windows 7, 8, 10"
UltraGoodness 2,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 7200 GS,400 MB,Windows 7
VR瓦割り / VR roof tile,Intel Core i5-4590,4 GB,NVIDIA GeForce GTX 970,300 MB,Windows10 64bit
Apple Pop,Intel Core i3-2340UE,2 GB,ATI FireGL T2-128,500 MB,Windows 7/9/10
Bootybuns 2,Intel Pentium 4 4.00GHz,2 MB,AMD Radeon HD 5450,300 MB,Windows 7/8/10
ReThink 3,Intel Pentium 4 2.00GHz,4 GB,AMD Radeon R9 270X,4.1 GB,Windows 7 or newer
Corpoct,Intel Pentium 4 1.50GHz,3 GB,ATI FireGL T2-128,200 MB,Windows 7 or better
NearPrime  - Net Burn,Intel Core i5-4590,8 GB,NVIDIA GeForce GTX 970,8 GB,Windows 7 64bit
Brave Alchemist Colette,Intel Core 2 Duo Q6867,4 GB,AMD Radeon HD 6250,1 GB,Windows® 7/8/8.1/10
Tiger Fighter 1931 Sunset,Intel Pentium 4 4.00GHz,100 MB,NVIDIA GeForce 8600M GT,100 MB,Windows 10
Grab the Mask | 地牢假面,Intel Core 2 Duo Q6867,2 GB,AMD Radeon HD 4550,200 MB,Windows 7
O Rei,Intel Atom Z510,512 MB,NVIDIA GeForce 510,500 MB,"Windows XP, Vista or 7"
Return to Earth,Intel Pentium 4 2.00GHz,2 GB,ATI FireGL V7350,320 MB,Windows XP or later
Zebra Logic Master,Intel Core i3-2340UE,2 GB,NVIDIA GeForce 510,300 MB,Microsoft Windows 7
Chicks and Tricks VR,Intel Core i5-4590,4 GB,NVIDIA GeForce GTX 970,300 MB,Windows 7 SP1 or newer
tri.Attack();,Intel Pentium 4 2.00GHz,300 MB,NVIDIA GeForce 7100 / nForce 630i,75 MB,Windows 7
X Wars Deluxe,Intel Pentium 4 2.00GHz,1 GB,ATI FireGL V7350,1 GB,Ubuntu Equivalent Distro
Daaang!,Intel Core i7-2600K,8 GB,NVIDIA GeForce GTX 1060,10 GB,Windows 10 64-bit (or compatible)
Keeper 2119,Intel Core i5-4400E,4 GB,ATI FireGL T2-128,1 GB,Windows 10
Brutal Sports - Football,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,,"Windows 7, Windows 8, Windows 10"
Head Over Heels,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,,"Windows 7, Windows 8, Windows 10"
Labyrinths of the World: Fool's Gold Collector's Edition,Intel Pentium 4 2.00GHz,1 GB,NVIDIA GeForce 510,962 MB,Windows 7/Windows 8/Windows 10
Sons of Ra,Intel Core i3-2100,4 GB,NVIDIA GeForce GTX 750,3 GB,Windows 7+
Escape Room Simulator,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,250 MB,Windows 7 SP1+
FOREST OF ELF,Intel Pentium 4 4.00GHz,4 GB,NVIDIA GeForce GT 720,500 MB,Windows 7 / 8.1 / 10
Sushi Wildlands,Intel Core i5-2400,8 GB,NVIDIA GeForce GT 610,3 GB,Windows 10
东方梦月谈~Lunatic Dreaming,Intel Core 2 Duo Q6867,512 MB,NVIDIA GeForce GTX 280,,windowsXP 及以上
Baron: Fur Is Gonna Fly,Intel Core i5-4400E,8 GB,NVIDIA GeForce 510,800 MB,Windows 7
Banana Invaders,Intel Core i5-4590,4 GB,NVIDIA GeForce GTX 970,500 MB,Windows 7 or Windows 8 (8.1) or Windows 10
Bacchus,Intel Core i5-4430,8 GB,NVIDIA GeForce GTX 960,3 GB,Microsoft Windows 10
Follow the White Rabbit VR (화이트래빗),Intel Core i7-6700,16 GB,NVIDIA GeForce GTX 980,12 GB,Win 10
Sleep Paralysis : mystery of the mountain village,Intel Core i3-530,4 GB,NVIDIA GeForce 256,3 GB,Windows 7 64-bit
Voidlifted,Intel Pentium 4 2.00GHz,512 MB,NVIDIA GeForce 7100 / nForce 630i,1 GB,Windows 7
ALLBLACK Phase 1,Intel Atom Z510,2 GB,ATI FireGL T2-128,1 GB,Ubuntu 12.04
Little Awesome Dudes,Intel Core i3-6100,8 GB,NVIDIA GeForce GTX 970,3 GB,Windows 10
Legends,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,,"Windows 7, Windows 8, Windows 10"
Inner,Intel Pentium 4 2.00GHz,4 GB,NVIDIA GeForce GT 730,120 MB,Windows 7 or higher
Escape Zolstar,Intel Atom Z510,2 GB,NVIDIA GeForce 510,40 MB,Windows 7
Viking Chess: Hnefatafl,Intel Pentium 4 2.00GHz,1 GB,NVIDIA GeForce 7100 / nForce 630i,300 MB,Windows  7 SP1+
Phantom 3D,Intel Core i3-530,2 GB,NVIDIA GeForce 7100 / nForce 630i,200 MB,Windows 7
Ecosystem,Intel Core i3-4340,4 GB,AMD Radeon HD 7850,2 GB,Windows 7 64-bit or higher
"Good Night, Knight",Intel Core i3-4130,4 GB,AMD Radeon HD 6950,1 GB,"Vista, Win 7, Win 8, Win 10 (64-bit)"
Bandit Simulator,Intel Core i3-2100,4 GB,Intel HD Graphics 620,4 GB,Windows 10
Knife road,Intel Core i5-4460,8 GB,NVIDIA GeForce GTX 1060,1.76 GB,Windows 7 64-bit ( DirectX 11 )
Time To Stop Time,Intel Core i3-2100,8 GB,ATI Radeon HD 5770,20 GB,Windows 7
ITORAH,Intel Core i3-1005G1,8 GB,AMD Radeon RX 560,4 GB,Windows 8.1 or higher
Stilt Fella,Intel Core 2 Duo Q6867,4 GB,AMD Radeon R9 280,1000 MB,64-bit Windows 7
Shining City,Intel Core i3-2340UE,3 GB,ATI FireGL T2-128,1 GB,Windows 7/10
I Am Data,Intel Core i7-3770K,4 GB,NVIDIA GeForce GTX 680,600 MB,Windows 7/8/10 32
