game_name,cpu,ram,gpu,storage,os
BattleSage,Intel Pentium 4 2.00GHz,8 GB,NVIDIA GeForce GTX 1060,5 GB,Windows 10
物质与魔法,Intel Core i3-2100,1 GB,NVIDIA GeForce GTX 960,500 MB,win7
Beauties Academy - Spellcraft Tournament,Intel Core 2 Duo Q6867,2 GB,AMD Radeon HD 6250,550 MB,Windows® 7/8/8.1/10
HellFull - The Last Hope,Intel Core i3-2100,4 GB,NVIDIA GeForce 6600,7 GB,Windows® 7 64-bit / Windows® 8 64-bit / Windows® 8.1 64-bit
FireSquad,AMD Athlon X4 640,4 GB,AMD Radeon HD 6670,250 MB,Windows 7
Return of the Video Dead - Demon in the Shell,Intel Core 2 Duo Q6867,1.95 GB,NVIDIA GeForce 9800 GT,1.95 GB,Windows 7 Or Later
Aster Force,Intel Core i5-3450,8 GB,AMD Radeon HD 7870,2 GB,Windows 7 (64 bits)
Cute Snake,Intel Core 2 Duo Q6867,4 GB,ATI FireGL T2-128,230 MB,Microsoft® Windows® 7 or higher
Battle 19XX,Intel Core i3-2340UE,500 MB,NVIDIA GeForce 510,200 MB,"32/64 bit Windows 7, Windows 8, Windows 8.1, Windows 10"
Skeleton Attack: Nightmare Awaken,Intel Core i3-330E,8 GB,AMD Radeon RX 470,2 GB,Windows 10
Party Bots,Intel Core 2 Duo E8400,1 GB,NVIDIA GeForce 510,100 MB,
DuckHunt - Missouri Kidz,Intel Pentium 4 2.00GHz,2 GB,ATI FireGL T2-128,500 MB,Windows 10
Gloomgrave,Intel Pentium 4 1.50GHz,2 GB,ATI FireMV 2200 PCIe,200 MB,Windows 7
Towerland,Intel Pentium 4 4.00GHz,4 GB,ATI FireGL T2-128,256 MB,"Windows 7 or newer, 64-bit"
Memory Novel - The SPA,Intel Core 2 Duo Q6867,2 GB,NVIDIA GeForce 510,200 MB,Windows XP/Vista/7/8
SNOT,Intel Core 2 Duo Q6867,4 GB,Intel Media Accelerator 500,250 MB,Windows 10 64-bit
Survivor Day,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,500 MB,Windows 10 （64-bit）
Air Museum VR,Intel Core i5-4590,16 GB,NVIDIA GeForce GTX 1070,7 GB,Windows 8.1
Glover,Intel Celeron,2 GB,ATI FireMV 2260,256 MB,Windows 10
REMEDIUM,Intel Core i3-6300,4 GB,AMD Radeon HD 5570,7 GB,Windows 7 SP1/8.1/10 x64
STAR MATH: Interstellar Rogue 2,Intel Pentium 4 1.70GHz,1 GB,Intel HD 3000,500 MB,Windows Vista/7/8/10
Lempo,Intel Core i5-8400,8 GB,AMD Radeon R5 M230,14 GB,Windows 10/11 64 bits
Rabbit's Tale,Intel Core 2 Duo Q6867,2 GB,ATI FireGL V7350,2 GB,Windows 10 64-bit
SUPER NANARU,Intel Core i5-750,4 GB,ATI Radeon HD 5850,200 MB,Windows® 7 (SP1) / Windows® 8 / Windows® 8.1
Plunder Struck,Intel Core i5-2500K,6 GB,AMD Radeon HD 7870,40 GB,Windows 7
Slender: The Eight Pages REMAKE,Intel Core i3-2340UE,4 GB,NVIDIA GeForce 920M,2 GB,Windows 7
100 hidden hares,Intel Core 2 Duo Q6867,1 GB,Intel HD 4000,25 MB,"Windows 7, 8, 10"
Gales of Nayeli,Intel Pentium 4 2.00GHz,512 MB,ATI FireGL T2-128,250 MB,Windows 7
Heroes Of The Dark,Intel Core 2 Duo Q6867,2.05 GB,Intel Media Accelerator 500,2 GB,Windows 10
Creature Keeper,Intel Atom Z510,512 MB,NVIDIA GeForce 256,,Windows XP Service Pack 3 or newer
Return Ace,Intel Core i3-2340UE,1 GB,Intel UHD Graphics 620,520 MB,windows7 or later
Arkheim - Realms at War,Intel Core i3-2100,2 GB,NVIDIA GeForce 7100 / nForce 630i,600 MB,Windows® 10
Hatsumira -from the future undying-,Intel Core 2 Duo Q6867,1 MB,NVIDIA GeForce GT 720,6 GB,7/8.1/10
Space Ballers,Intel Core i5-3210M,4 GB,Intel HD 530,300 MB,Linux 4.15.0-54-generic
Perish Song,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,,Windows XP
Agony VR,Intel Core i5-4590,10 GB,NVIDIA GeForce GTX 1070,13 GB,Windows 10
Postapo Mechanic Simulator,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,Windows 7 (64-bit) or newer
The Fate of Baldr,Intel Core 2 Quad Q9705,8 GB,NVIDIA GeForce GTX 950,2 GB,Windows 7 or later
Backrooms - Levels of Fear,Intel Core i7-7600U,4 GB,Intel HD Graphics 620,1.17 GB,Windows 7 or above
Neon Ronin,Intel Pentium 4 1.70GHz,1 GB,ATI FireMV 2200 PCIe,100 MB,Windows 7 or more recent
